,inicio,varinicio,varfim,;,id,int,real,lit,leia,escreva,literal,num,rcb,opm,se,(,),entao,opr,fimse,fim,$,V,LV,D,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CABEÇALHO,EXP_R,CORPO
0,s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,s3,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
2,,,,,s11,,,,s9,s10,,,,,s13,,,,,,s8,,,,,,4,5,,6,,,7,12,,
3,,,s21,,s23,,,,,,,,,,,,,,,,,,,20,19,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,
5,,,,,s11,,,,s9,s10,,,,,s13,,,,,,s8,,,,,,14,5,,6,,,7,12,,
6,,,,,s11,,,,s9,s10,,,,,s13,,,,,,s8,,,,,,15,5,,6,,,7,12,,
7,,,,,s11,,,,s9,s10,,,,,s13,,,,,,s8,,,,,,16,5,,6,,,7,12,,
8,,,,,,,,,,,,,,,,,,,,,,r30,,,,,,,,,,,,,,
9,,,,,s17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,s34,,,,,,s32,s33,,,,,,,,,,,,,,,,,30,,,,,,,
11,,,,,,,,,,,,,s36,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,s11,,,,s9,s10,,,,,s13,,,,,s41,,,,,,,,38,,39,,,40,12,,37
13,,,,,,,,,,,,,,,,s35,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,r10,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,r16,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,r22,,,,,,,,,,,,,,
17,,,,s18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,r11,,,,r11,r11,,,,,r11,,,,,r11,r11,,,,,,,,,,,,,,,
19,,,s21,,s23,,,,,,,,,,,,,,,,,,,24,19,,,,,,,,,,,
20,,,,,r3,,,,r3,r3,,,,,r3,,,,,,r3,,,,,,,,,,,,,,,
21,,,,s22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,r5,,,,r5,r5,,,,,r5,,,,,,r5,,,,,,,,,,,,,,,
23,,,,,,s27,s28,s29,,,,,,,,,,,,,,,,,,25,,,,,,,,,,
24,,,,,r4,,,,r4,r4,,,,,r4,,,,,,r4,,,,,,,,,,,,,,,
25,,,,s26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,r6,,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,s31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,r12,,,,r12,r12,,,,,r12,,,,,r12,r12,,,,,,,,,,,,,,,
32,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,s43,,,,,,,s44,,,,,,,,,,,,,,,,,,,,47,,,42,
36,,,,,s43,,,,,,,s44,,,,,,,,,,,,,,,,,,,50,51,,,,
37,,,,,r23,,,,r23,r23,,,,,r23,,,,,r23,r23,,,,,,,,,,,,,,,
38,,,,,s11,,,,s9,s10,,,,,s13,,,,,s41,,,,,,,,38,,39,,,40,12,,56
39,,,,,s11,,,,s9,s10,,,,,s13,,,,,s41,,,,,,,,38,,39,,,40,12,,57
40,,,,,s11,,,,s9,s10,,,,,s13,,,,,s41,,,,,,,,38,,39,,,40,12,,54
41,,,,,r29,,,,r29,r29,,,,,r29,,,,,r29,r29,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,
43,,,,r20,,,,,,,,,,r20,,,r20,,r20,,,,,,,,,,,,,,,,,
44,,,,r21,,,,,,,,,,r21,,,r21,,r21,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,s46,,,,,,,,,,,,,,,,,,
46,,,,,r24,,,,r24,r24,,,,,r24,,,,,r24,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,s48,,,,,,,,,,,,,,,,,
48,,,,,s43,,,,,,,s44,,,,,,,,,,,,,,,,,,,,49,,,,
49,,,,,,,,,,,,,,,,,r25,,,,,,,,,,,,,,,,,,,
50,,,,s55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,r19,,,,,,,,,,s52,,,,,,,,,,,,,,,,,,,,,,
52,,,,,s43,,,,,,,s44,,,,,,,,,,,,,,,,,,,,53,,,,
53,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,r28,,,,r28,r28,,,,,r28,,,,,r28,r28,,,,,,,,,,,,,,,
55,,,,,r17,,,,r17,r17,,,,,r17,,,,,r17,r17,,,,,,,,,,,,,,,
56,,,,,r26,,,,r26,r26,,,,,r26,,,,,r26,r26,,,,,,,,,,,,,,,
57,,,,,r27,,,,r27,r27,,,,,r27,,,,,r27,r27,,,,,,,,,,,,,,,
